table with row headers in column A and column headers in rows 3 through 4 (leading dots indicate sub-parts),,,,,,,,,,,,
"Annual Estimates of the Resident Population for Metropolitan Statistical Areas in the United States and Puerto Rico: April 1, 2010 to July 1, 2019",,,,,,,,,,,,
Geographic Area,"April 1, 2010",,Population Estimate (as of July 1),,,,,,,,,
,Census,Estimates Base,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
".Hagerstown-Martinsburg, MD-WV Metro Area","269,140","269,146","269,833","271,983","273,429","274,926","276,755","278,236","280,717","282,958","285,722","288,104"
".Hammond, LA Metro Area","121,097","121,109","121,485","122,700","123,646","125,520","127,010","128,716","130,619","132,353","133,837","134,758"
".Hanford-Corcoran, CA Metro Area","152,982","152,974","152,370","151,868","150,991","150,337","149,495","150,085","149,382","149,665","151,382","152,940"
".Harrisburg-Carlisle, PA Metro Area","549,475","549,444","550,088","552,280","555,057","558,139","561,164","564,678","567,510","570,784","574,149","577,941"
".Harrisonburg, VA Metro Area","125,228","125,221","125,401","126,796","128,449","128,956","130,420","131,120","132,909","134,041","134,749","134,964"
".Hartford-East Hartford-Middletown, CT Metro Area","1,212,381","1,212,471","1,214,091","1,216,088","1,215,307","1,214,785","1,213,886","1,211,748","1,208,595","1,207,027","1,206,139","1,204,877"
".Hattiesburg, MS Metro Area","162,410","162,418","162,856","164,801","165,994","166,971","167,179","167,873","168,158","167,719","168,292","168,849"
".Hickory-Lenoir-Morganton, NC Metro Area","365,497","365,794","365,565","364,478","363,670","363,379","363,035","363,346","364,798","367,085","368,449","369,711"
".Hilton Head Island-Bluffton, SC Metro Area","187,010","187,010","187,777","189,330","193,145","197,292","201,725","207,256","211,269","215,019","218,023","222,195"
".Hinesville, GA Metro Area","77,917","77,929","77,339","80,267","80,406","78,825","81,120","79,269","79,845","80,399","79,697","80,994"
".Homosassa Springs, FL Metro Area","141,236","141,230","141,173","139,764","139,180","138,829","138,828","140,287","142,804","145,415","147,682","149,657"
".Hot Springs, AR Metro Area","96,024","95,999","96,067","96,854","96,986","97,654","97,758","97,814","98,282","98,327","98,966","99,386"
".Houma-Thibodaux, LA Metro Area","208,178","208,185","208,251","208,713","208,885","209,983","211,368","212,131","211,512","209,946","209,144","208,075"
".Houston-The Woodlands-Sugar Land, TX Metro Area","5,920,416","5,920,487","5,947,236","6,056,193","6,183,531","6,328,208","6,500,199","6,671,808","6,806,503","6,900,090","6,976,147","7,066,141"
".Huntington-Ashland, WV-KY-OH Metro Area","370,908","370,899","371,065","371,126","370,972","370,179","368,938","367,224","365,020","361,970","359,069","355,873"
".Huntsville, AL Metro Area","417,593","417,593","419,276","425,122","430,056","435,541","440,395","444,542","449,576","455,892","463,181","471,824"
".Idaho Falls, ID Metro Area","133,265","133,331","133,813","134,959","136,165","136,840","137,838","139,542","142,520","145,512","148,436","151,530"
".Indianapolis-Carmel-Anderson, IN Metro Area","1,887,877","1,888,075","1,892,640","1,910,719","1,929,678","1,953,600","1,971,006","1,986,119","2,006,760","2,027,584","2,052,368","2,074,537"
".Iowa City, IA Metro Area","152,586","152,586","153,025","155,908","159,006","162,095","164,759","167,088","169,054","171,529","172,607","173,105"
".Ithaca, NY Metro Area","101,564","101,592","101,740","101,821","102,726","103,553","103,391","103,006","102,942","102,664","102,419","102,180"
".Jackson, MI Metro Area","160,248","160,233","160,109","159,658","159,962","159,628","159,421","159,264","158,277","158,563","158,566","158,510"
