,,1 Year Avg Return,3 Year Avg Return,5 Year Avg Return,lat,lng,population,firstzip
Laconia,NH,0.046385717643219415,0.04926784202552836,0.05096386692893762,43.5724,-71.4775,19371.0,03246
Athens,OH,0.016573961625092837,0.017604768191521236,0.018020480682646278,39.3269,-82.0988,29122.0,45701
Lawton,OK,0.02298115783231891,0.02452953165542815,0.025257818970010115,34.6176,-98.4203,90712.0,73501
Ames,IA,0.018094412619012568,0.01927725296339622,0.01994983473977996,42.0259,-93.6215,67910.0,50014
Elkins,WV,0.035578105101946145,0.03872320152114295,0.03998272142961912,38.9237,-79.854,10899.0,26241
Ann Arbor,MI,0.029878404312846163,0.03131677991678572,0.03219414518232222,42.2755,-83.7312,322267.0,48103
Staunton,VA,0.012127766689719266,0.012703980953499006,0.013222929227776348,38.1593,-79.0611,59433.0,24401
Clearlake,CA,0.03843867703767767,0.04005823258727226,0.04087536246135315,38.959,-122.633,15961.0,95422
Marshalltown,IA,0.010886373722812204,0.011593833222635297,0.011739638450509737,42.0341,-92.9067,25994.0,50158
San Jose,CA,0.06222251994229433,0.06649687113892666,0.06865176069285361,37.3019,-121.8486,1798103.0,95118
Watertown,SD,0.03420790367024784,0.03626568397793095,0.03734816032552657,44.9094,-97.1531,21790.0,57201
Craig,CO,0.04326226268369471,0.04569215455267095,0.04710492542447797,40.517,-107.5555,9553.0,81625
Amarillo,TX,0.020509737236799497,0.022055128990519313,0.022680898599863664,35.1988,-101.8311,205603.0,79121
Claremont,NH,0.03775190513834503,0.04100494539210775,0.042340269427971755,43.379,-72.3368,9294.0,03743
Austin,MN,0.028765619493954286,0.030550499445471058,0.031527606869317326,43.6718,-92.9783,25626.0,55912
Morristown,TN,0.03155086625016912,0.0344856876844446,0.035524499028533496,36.2046,-83.3006,61171.0,37813
Kennewick,WA,0.03913172820205113,0.04139275421403554,0.0425947376353597,46.1978,-119.1732,240735.0,99337
Muncie,IN,0.04881040875659659,0.05180494865197427,0.0535727094624594,40.1989,-85.395,87879.0,47306
