MSA,Violent Crime,Murder,Murder Rate,Population 2019 (DO NOT USE),Population 2010 (DO NOT USE),Population 10 year CAGR,Median income (dollars),Mean income (dollars),City,State,Population,Density,Zip Code,lat_x,lon,% Sale Price Change Since Feb,Avg Sale Price Last 12M,Sale Price Last,Sale Pr CAGR GFC,Sale Pr Standard Deviation,Unnamed: 0,Unnamed: 1,1 Year Avg Return,3 Year Avg Return,5 Year Avg Return,lat_y,lng,population,firstzip,% Rent Change Since Feb,2019 Annualized Rent,Avg Monthly Rent 2019,Avg Monthly Rent Last 12M,Last 12M Annualized Rent,Monthly Rent Last,Rent CAGR since 2014-01,Rent Standard Deviation,Affordability Rent/Median Inc,Affordability Rent/Avg Inc,Capitalization Rate Last
"Columbus, OH",4631.0,77.0,9.082919982,2122271.0,1906366.0,0.011992217972200514,67207.0,91444.0,Columbus,OH,1562009.0,1582.0,43026,39.9862,-82.985,0.04804827385260313,214746.75,223010.0,0.06385814176714089,0.012471841840610981,Columbus,OH,0.025558212456567864,0.027334746176631564,0.02823191414381365,39.9862,-82.985,1562009.0,43026.0,0.02414330218068539,15057.0,1254.75,1290.9166666666667,15491.0,1315.0,0.0400681233348934,0.0036003106219835938,0.2240391625872305,0.164658151436945,0.07075915878211739
"Miami, FL",4473.0,75.0,17.12449968,6166488.0,5583394.0,0.011098091356302131,60141.0,89694.0,Miami,FL,6445545.0,5019.0,33129,25.7839,-80.2102,0.03565142468242599,300640.4166666667,308911.0,0.07852388274555255,0.034969138540407174,,,,,,,,,,0.007776049766718529,22838.0,1903.1666666666667,1931.6666666666667,23180.0,1944.0,0.03247135488428232,0.0100947207748167,0.37974094211935283,0.25462126786630096,0.07551689645237625
"Oklahoma City, OK",4828.0,73.0,11.57589107,1408950.0,1257793.0,0.012689407897809035,60605.0,83830.0,Oklahoma City,OK,972943.0,417.0,73012,35.4676,-97.5136,0.04100041000410015,165095.0,170113.0,0.033366033502954195,0.007098037524982461,Oklahoma City,OK,0.030261168688618056,0.03213679234149058,0.03315099218131201,35.4676,-97.5136,972943.0,73012.0,0.009380863039399667,12645.0,1053.75,1068.5,12822.0,1076.0,0.01678211306464661,0.0020490269378833446,0.20864615130764788,0.15084098771322915,0.07590248834598179
"Nashville, TN",7245.0,72.0,10.941767,1934317.0,1650831.0,0.01776432996365407,70262.0,96579.0,Nashville,TN,1081903.0,544.0,37027,36.1715,-86.7843,0.04298857475851592,286040.0833333333,295317.0,0.0681747266734436,0.011969511229147191,Nashville,TN,0.03597861346282416,0.0377946397489779,0.03906001239128165,36.1715,-86.7843,1081903.0,37027.0,0.011852776044915858,18784.0,1565.3333333333333,1606.5,19278.0,1622.0,0.04636872380830481,0.00345530026510819,0.2673422333551564,0.19449362697894987,0.06590883694470688
"Cincinnati, OH",2761.0,66.0,22.11218247,2221208.0,2140715.0,0.004109677955829616,66825.0,92064.0,Cincinnati,OH,1662691.0,1507.0,45219,39.1413,-84.5061,0.054991583987621606,193838.16666666666,201822.0,0.04913199585669803,0.011854533509644929,Cincinnati,OH,0.022277498016214814,0.023318206726920417,0.02402751585770524,39.1413,-84.5061,1662691.0,45219.0,0.022004889975550057,14326.0,1193.8333333333333,1232.4166666666667,14789.0,1254.0,0.0392711471897802,0.0034221090564554696,0.2143808454919566,0.1556091414668057,0.07456075155334899
"Charlotte, NC",5948.0,61.0,6.94905658,2636883.0,2250121.0,0.017779941472684024,66399.0,94069.0,Charlotte,NC,1512923.0,1113.0,28269,35.208,-80.8304,0.057067865272899976,244373.0,254932.0,0.0642163620841869,0.01338216352292866,Charlotte,NC,0.028709709844190637,0.03036476911466468,0.031307882518432306,35.208,-80.8304,1512923.0,28269.0,0.009421265141319024,17494.0,1457.8333333333333,1489.3333333333333,17872.0,1500.0,0.04284972433294598,0.003863097856151226,0.26346782331059204,0.185969873178199,0.07060706384447617
"Pittsburgh, PA",2167.0,57.0,18.57464073,2317600.0,2357090.0,-0.0018755323075312358,62638.0,86458.0,Pittsburgh,PA,1703266.0,2093.0,15216,40.4396,-79.9762,0.05065970764822891,166096.41666666666,172719.0,0.03148498064582772,0.008264835840726115,Pittsburgh,PA,0.028995869258189533,0.030845561504730057,0.03162242283587413,40.4396,-79.9762,1703266.0,15216.0,0.011423550087873435,13415.0,1117.9166666666667,1140.75,13689.0,1151.0,,0.002385852598725645,0.21416711900124524,0.15516204399824193,0.07996804057457489
"Fort Worth, TX",4359.0,56.0,6.749175335,,,,,,Fort Worth,TX,909585.0,1016.0,76164,32.7811,-97.3473,,,,,,,,,,,,,,,,,,,,,,,,,
"Tulsa, OK",3628.0,55.0,13.6979478,998626.0,939833.0,0.006764793464057561,57859.0,81130.0,Tulsa,OK,671033.0,784.0,74133,36.1284,-95.9042,0.04855319289659055,152995.33333333334,158536.0,0.03346227920366873,0.008923707155037607,Tulsa,OK,0.025921647511731868,0.02733812521210477,0.028245739140397182,36.1284,-95.9042,671033.0,74133.0,0.023381294964028854,13036.0,1086.3333333333333,1117.8333333333333,13414.0,1138.0,0.023617013758392202,0.002576052364065176,0.22530634819129264,0.160680389498336,0.08613816420245243
"Denver, CO",4599.0,53.0,7.766500884,2967239.0,2554523.0,0.016779936396022155,85641.0,112940.0,Denver,CO,2876625.0,1831.0,80264,39.7621,-104.8759,0.03856426554623349,449167.5,462724.0,0.07940785807292938,0.015808366318692448,Denver,CO,0.044037307155512906,0.047335284605429566,0.048640655124830616,39.7621,-104.8759,2876625.0,80264.0,0.0005652911249294235,20984.0,1748.6666666666667,1768.8333333333333,21226.0,1770.0,0.053434150936735536,0.00456348227477265,0.24502282785114607,0.18579776872675757,0.04590209282423215
"San Francisco, CA",6710.0,53.0,6.135807413999999,4731803.0,4343634.0,0.009555923354290341,114696.0,159893.0,San Francisco,CA,3592294.0,7256.0,94130,37.7562,-122.443,0.01694351886433232,1093633.5,1113664.0,0.09356712191952377,0.030355886471876068,San Francisco,CA,0.05867800146794733,0.06229175138580145,0.06395691602429121,37.7562,-122.443,3592294.0,94130.0,-0.022040302267002487,38071.0,3172.5833333333335,3158.6666666666665,37904.0,3106.0,0.05431930174550481,0.008762989613013684,0.33192962265466974,0.23810298136879038,0.03346790414344003
